"system.index","Name","Shape_Area","Shape_Leng","precip","tavg","tmax","tmin",".geo"
"19510101_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.1015625,1.65625,-3.859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510102_00000000000000000000","Deary",3414097.91084,9686.26783674,11.84375,-1.0234375,1.5390625,-3.59375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510103_00000000000000000000","Deary",3414097.91084,9686.26783674,14.0234375,0.78125,3.359375,-1.796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510104_00000000000000000000","Deary",3414097.91084,9686.26783674,4.9921875,0.3203125,2.6875,-2.0390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510105_00000000000000000000","Deary",3414097.91084,9686.26783674,4.1796875,-1.3515625,0.90625,-3.6171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510106_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.9609375,-0.09375,-9.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510107_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-6.1328125,-1.421875,-10.84375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510108_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-4.8515625,-1.828125,-7.859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510109_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-2.75,0.3203125,-5.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510110_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-3.4921875,0.71875,-7.6875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510111_00000000000000000000","Deary",3414097.91084,9686.26783674,3.3125,-1.5,1.53125,-4.53125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510112_00000000000000000000","Deary",3414097.91084,9686.26783674,1.59375,-1.890625,2.453125,-6.2265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510113_00000000000000000000","Deary",3414097.91084,9686.26783674,5.2265625,-1.03125,0.90625,-2.96875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510114_00000000000000000000","Deary",3414097.91084,9686.26783674,5.546875,1.6015625,3.5078125,-0.296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510115_00000000000000000000","Deary",3414097.91084,9686.26783674,4.390625,3.3125,7.328125,-0.703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510116_00000000000000000000","Deary",3414097.91084,9686.26783674,3.0078125,1.4296875,6.328125,-3.46875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510117_00000000000000000000","Deary",3414097.91084,9686.26783674,17.2109375,0.34375,3.46875,-2.796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510118_00000000000000000000","Deary",3414097.91084,9686.26783674,0.71875,-1.6875,1.8203125,-5.1875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510119_00000000000000000000","Deary",3414097.91084,9686.26783674,3.15625,-2.5,1.6015625,-6.59375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510120_00000000000000000000","Deary",3414097.91084,9686.26783674,2,-3.578125,0.46875,-7.6171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510121_00000000000000000000","Deary",3414097.91084,9686.26783674,5.8515625,-0.2890625,3.6796875,-4.2734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510122_00000000000000000000","Deary",3414097.91084,9686.26783674,11.3671875,0.359375,3.3515625,-2.6171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510123_00000000000000000000","Deary",3414097.91084,9686.26783674,1.4609375,-2.78125,1.0625,-6.6171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510124_00000000000000000000","Deary",3414097.91084,9686.26783674,5.5703125,0,2.84375,-2.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510125_00000000000000000000","Deary",3414097.91084,9686.26783674,1.6171875,2.90625,6.40625,-0.6015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510126_00000000000000000000","Deary",3414097.91084,9686.26783674,5.8515625,3.9765625,7.1171875,0.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510127_00000000000000000000","Deary",3414097.91084,9686.26783674,0.9296875,-3.6484375,4.296875,-11.609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510128_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-13.6875,-8.4765625,-18.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510129_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-16.546875,-10.6328125,-22.4765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510130_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-15.2109375,-8.96875,-21.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510131_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-15.109375,-8.5,-21.71875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510201_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-12.46875,-5.84375,-19.1015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510202_00000000000000000000","Deary",3414097.91084,9686.26783674,12.03125,-6.6171875,-1.75,-11.4765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510203_00000000000000000000","Deary",3414097.91084,9686.26783674,3.21875,0.6484375,3.640625,-2.3515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510204_00000000000000000000","Deary",3414097.91084,9686.26783674,1.5390625,1.0703125,3.9609375,-1.8203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510205_00000000000000000000","Deary",3414097.91084,9686.26783674,1.7109375,1.5078125,4.6328125,-1.609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510206_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-2.3671875,2.5625,-7.2890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510207_00000000000000000000","Deary",3414097.91084,9686.26783674,9.9375,-0.7890625,2.8671875,-4.4609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510208_00000000000000000000","Deary",3414097.91084,9686.26783674,10.4609375,2.3125,5.34375,-0.71875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510209_00000000000000000000","Deary",3414097.91084,9686.26783674,14.75,3.7421875,7.3203125,0.1484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510210_00000000000000000000","Deary",3414097.91084,9686.26783674,4.890625,6.2109375,10.3984375,2.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510211_00000000000000000000","Deary",3414097.91084,9686.26783674,11.0390625,5.1484375,9.2265625,1.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510212_00000000000000000000","Deary",3414097.91084,9686.26783674,4.6796875,0.0234375,4.421875,-4.3828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510213_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-2.609375,4,-9.21875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510214_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.9765625,5.046875,-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510215_00000000000000000000","Deary",3414097.91084,9686.26783674,0,1.28125,7.3203125,-4.7734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510216_00000000000000000000","Deary",3414097.91084,9686.26783674,2.03125,0.1484375,5.609375,-5.3203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510217_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.3671875,4.0234375,-6.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510218_00000000000000000000","Deary",3414097.91084,9686.26783674,3.109375,0.6171875,4.953125,-3.7109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510219_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-1.359375,3.7109375,-6.4296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510220_00000000000000000000","Deary",3414097.91084,9686.26783674,1.328125,0.8125,4.921875,-3.2890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510221_00000000000000000000","Deary",3414097.91084,9686.26783674,0,0,5.796875,-5.7890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510222_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.578125,5.8125,-6.96875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510223_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.921875,6.0625,-7.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510224_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.7578125,5.390625,-6.8984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510225_00000000000000000000","Deary",3414097.91084,9686.26783674,1.8125,-0.8515625,3.046875,-4.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
