"system.index","Name","Shape_Area","Shape_Leng","precip","tavg","tmax","tmin",".geo"
"19510101_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,0.135625,3.033125,-2.7621875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510102_00000000000000000003","Kendrick",2063112.11657,12351.4950856,10.171875,0.1040625,2.725,-2.5121875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510103_00000000000000000003","Kendrick",2063112.11657,12351.4950856,9.0796875,1.9278125,4.8246875,-0.9665625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510104_00000000000000000003","Kendrick",2063112.11657,12351.4950856,3.13,1.485625,4.1834375,-1.208125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510105_00000000000000000003","Kendrick",2063112.11657,12351.4950856,3.1865625,-0.31875,1.98125,-2.6359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510106_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-3.1121875,1.171875,-7.3853125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510107_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-4.5034375,-0.1965625,-8.8175,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510108_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-3.9553125,-1.5859375,-6.3178125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510109_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-1.915625,1.11625,-4.95125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510110_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-2.6546875,1.45125,-6.771875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510111_00000000000000000003","Kendrick",2063112.11657,12351.4950856,2.84625,-0.8175,2.168125,-3.7990625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510112_00000000000000000003","Kendrick",2063112.11657,12351.4950856,1.2740625,-1.0590625,3.15125,-5.2778125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510113_00000000000000000003","Kendrick",2063112.11657,12351.4950856,3.379375,0.2303125,2.0978125,-1.6384375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510114_00000000000000000003","Kendrick",2063112.11657,12351.4950856,3.704375,2.103125,4.356875,-0.1428125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510115_00000000000000000003","Kendrick",2063112.11657,12351.4950856,3.5178125,3.993125,8.490625,-0.5078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510116_00000000000000000003","Kendrick",2063112.11657,12351.4950856,1.4196875,2.150625,7.645625,-3.3521875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510117_00000000000000000003","Kendrick",2063112.11657,12351.4950856,11.5259375,1.4196875,4.963125,-2.1125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510118_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-0.385625,3.381875,-4.1584375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510119_00000000000000000003","Kendrick",2063112.11657,12351.4950856,1.97875,-1.0890625,3.05,-5.2240625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510120_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0.92875,-2.3534375,1.8578125,-6.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510121_00000000000000000003","Kendrick",2063112.11657,12351.4950856,4.13,0.884375,4.8203125,-3.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510122_00000000000000000003","Kendrick",2063112.11657,12351.4950856,6.7478125,1.2384375,4.355625,-1.8703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510123_00000000000000000003","Kendrick",2063112.11657,12351.4950856,1.3103125,-1.51625,2.2090625,-5.2425,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510124_00000000000000000003","Kendrick",2063112.11657,12351.4950856,4.674375,0.89375,3.5609375,-1.765,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510125_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0.9865625,3.3271875,6.7840625,-0.1259375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510126_00000000000000000003","Kendrick",2063112.11657,12351.4950856,2.673125,4.4028125,7.691875,1.1109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510127_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0.693125,-2.2296875,5.1715625,-9.634375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510128_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-11.8696875,-7.0665625,-16.684375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510129_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-14.3371875,-9.049375,-19.6290625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510130_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-13.545625,-7.9134375,-19.1784375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510131_00000000000000000003","Kendrick",2063112.11657,12351.4950856,0,-13.4828125,-7.313125,-19.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
