"town","buffer","question","metric","obs_slope_decade","qcat","p_upper","p_two"
"Bovill","10mibuffer","Q1","firehighdays_bi90",1.72413793103448,"Q6",0.1935,0.387
"Bovill","10mibuffer",NA,"firehighdays_bi95",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q1","firehighdays_erc90",0,"Q4",0.4905,0.981
"Bovill","10mibuffer",NA,"firehighdays_erc95",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q5","firemaxrun_bi",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q5","firemaxrun_erc",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q3","firep95_erc",4.14730026732017,"Q7",0.1005,0.201
"Bovill","10mibuffer","Q3","firepeak_bi",3.47702740271299,"Q7",0.114,0.228
"Bovill","10mibuffer","Q3","firepeak_erc",4.70011811554101,"Q7",0.133,0.266
"Bovill","10mibuffer","Q5","fireseasonlength_bi",22.5,"Q5",0.404,0.808
"Bovill","10mibuffer","Q5","fireseasonlength_erc",10,"Q5",0.33,0.66
"Bovill","10mibuffer",NA,"fireseverity_bi90",3.43730650612192,"Q5",0.338,0.676
"Bovill","10mibuffer",NA,"fireseverity_erc90",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q4","firestart_any_bi90",1.37931034482759,"Q5",0.4035,0.807
"Bovill","10mibuffer","Q4","firestart_any_erc90",-3.71710526315789,"Q3",0.5795,0.841
"Bovill","10mibuffer",NA,"firestart_k2_erc90",-24.1428571428571,"Q2",0.8205,0.359
"Bovill","10mibuffer",NA,"firestart_k3_bi90",0.687645687645688,"Q4",0.4705,0.941
"Bovill","10mibuffer",NA,"firestart_k3_erc90",-18.1818181818182,"Q3",0.6765,0.647
"Bovill","10mibuffer","Q4","firestart_wyday_bi",0.687645687645688,"Q4",0.4705,0.941
"Bovill","10mibuffer","Q4","firestart_wyday_erc",-18.1818181818182,"Q3",0.6765,0.647
"Bovill","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.981
"Bovill","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.981
"Bovill","none","Q1","firehighdays_bi90",0.833333333333333,"Q5",0.314,0.628
"Bovill","none",NA,"firehighdays_bi95",0,"Q4",0.4905,0.981
"Bovill","none","Q1","firehighdays_erc90",0,"Q4",0.4905,0.981
"Bovill","none",NA,"firehighdays_erc95",0,"Q4",0.4905,0.981
"Bovill","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.981
"Bovill","none","Q5","firemaxrun_erc",0,"Q4",0.4905,0.981
"Bovill","none","Q3","firep95_erc",3.90093268621537,"Q7",0.0865,0.173
"Bovill","none","Q3","firepeak_bi",3.39260326287685,"Q6",0.1735,0.347
"Bovill","none","Q3","firepeak_erc",4.62874959309895,"Q6",0.174,0.348
"Bovill","none","Q5","fireseasonlength_bi",17.3076923076923,"Q7",0.0835,0.167
"Bovill","none","Q5","fireseasonlength_erc",4.31372549019608,"Q4",0.435,0.87
"Bovill","none",NA,"fireseverity_bi90",1.36887942788444,"Q5",0.4095,0.819
"Bovill","none",NA,"fireseverity_erc90",0,"Q4",0.4905,0.981
"Bovill","none","Q4","firestart_any_bi90",-1.5,"Q3",0.572,0.856
"Bovill","none","Q4","firestart_any_erc90",-11.953781512605,"Q2",0.7875,0.425
"Bovill","none",NA,"firestart_k2_erc90",-16.0833333333333,"Q2",0.81,0.38
"Bovill","none",NA,"firestart_k3_bi90",-6.74242424242424,"Q2",0.7665,0.467
"Bovill","none",NA,"firestart_k3_erc90",-13.3333333333333,"Q2",0.7325,0.535
"Bovill","none","Q4","firestart_wyday_bi",-6.74242424242424,"Q2",0.7665,0.467
"Bovill","none","Q4","firestart_wyday_erc",-13.3333333333333,"Q2",0.7325,0.535
"Bovill","none","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.981
"Bovill","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.981
"Deary","10mibuffer","Q1","firehighdays_bi90",2.94117647058824,"Q5",0.3595,0.719
"Deary","10mibuffer",NA,"firehighdays_bi95",1.17647058823529,"Q6",0.2205,0.441
"Deary","10mibuffer","Q1","firehighdays_erc90",4,"Q6",0.277,0.554
"Deary","10mibuffer",NA,"firehighdays_erc95",0,"Q4",0.4905,0.981
"Deary","10mibuffer","Q5","firemaxrun_bi",0.625,"Q6",0.1995,0.399
"Deary","10mibuffer","Q5","firemaxrun_erc",1.84210526315789,"Q6",0.2085,0.417
"Deary","10mibuffer","Q3","firep95_erc",4.82601982650263,"Q7",0.074,0.148
"Deary","10mibuffer","Q3","firepeak_bi",4.08187277694847,"Q7",0.0875,0.175
"Deary","10mibuffer","Q3","firepeak_erc",5.29799824860909,"Q7",0.116,0.232
"Deary","10mibuffer","Q5","fireseasonlength_bi",25.8846153846154,"Q5",0.305,0.61
"Deary","10mibuffer","Q5","fireseasonlength_erc",20.9090909090909,"Q6",0.2455,0.491
"Deary","10mibuffer",NA,"fireseverity_bi90",8.62725540439223,"Q5",0.4035,0.807
"Deary","10mibuffer",NA,"fireseverity_erc90",6.86394602903669,"Q5",0.408,0.816
"Deary","10mibuffer","Q4","firestart_any_bi90",-1.11111111111111,"Q4",0.555,0.89
"Deary","10mibuffer","Q4","firestart_any_erc90",-7.42857142857143,"Q3",0.692,0.616
"Deary","10mibuffer",NA,"firestart_k2_erc90",-10,"Q2",0.7465,0.507
"Deary","10mibuffer",NA,"firestart_k3_bi90",2.22222222222222,"Q5",0.402,0.804
"Deary","10mibuffer",NA,"firestart_k3_erc90",-14.2857142857143,"Q2",0.7635,0.473
"Deary","10mibuffer","Q4","firestart_wyday_bi",2.22222222222222,"Q5",0.402,0.804
"Deary","10mibuffer","Q4","firestart_wyday_erc",-14.2857142857143,"Q2",0.7635,0.473
"Deary","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4945,0.989
"Deary","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.495,0.99
"Deary","none","Q1","firehighdays_bi90",4.24242424242424,"Q5",0.2985,0.597
"Deary","none",NA,"firehighdays_bi95",1.11111111111111,"Q5",0.4075,0.815
"Deary","none","Q1","firehighdays_erc90",4.28571428571429,"Q5",0.291,0.582
"Deary","none",NA,"firehighdays_erc95",0,"Q4",0.4965,0.993
"Deary","none","Q5","firemaxrun_bi",1.11111111111111,"Q6",0.286,0.572
"Deary","none","Q5","firemaxrun_erc",1.85185185185185,"Q6",0.233,0.466
"Deary","none","Q3","firep95_erc",4.85668044244091,"Q7",0.0725,0.145
"Deary","none","Q3","firepeak_bi",4.22428500267768,"Q7",0.092,0.184
"Deary","none","Q3","firepeak_erc",5.30295970767786,"Q7",0.107,0.214
"Deary","none","Q5","fireseasonlength_bi",31.8181818181818,"Q6",0.2545,0.509
"Deary","none","Q5","fireseasonlength_erc",48.2459677419355,"Q5",0.315,0.63
"Deary","none",NA,"fireseverity_bi90",11.1021240780373,"Q5",0.387,0.774
"Deary","none",NA,"fireseverity_erc90",9.43460159961588,"Q5",0.4015,0.803
"Deary","none","Q4","firestart_any_bi90",-0.588235294117647,"Q4",0.5425,0.915
"Deary","none","Q4","firestart_any_erc90",-12.5,"Q2",0.797,0.406
"Deary","none",NA,"firestart_k2_erc90",-5.57692307692308,"Q3",0.642,0.716
"Deary","none",NA,"firestart_k3_bi90",2,"Q4",0.4435,0.887
"Deary","none",NA,"firestart_k3_erc90",-5.71428571428571,"Q3",0.617,0.766
"Deary","none","Q4","firestart_wyday_bi",2,"Q4",0.4435,0.887
"Deary","none","Q4","firestart_wyday_erc",-5.71428571428571,"Q3",0.617,0.766
"Deary","none","Q2","firesummerhighdays_bi90",0,"Q4",0.498,0.996
"Deary","none","Q2","firesummerhighdays_erc90",0,"Q4",0.494,0.988
"ElkRiver","10mibuffer","Q1","firehighdays_bi90",5,"Q6",0.226,0.452
"ElkRiver","10mibuffer",NA,"firehighdays_bi95",1.73913043478261,"Q5",0.335,0.67
"ElkRiver","10mibuffer","Q1","firehighdays_erc90",5.40540540540541,"Q6",0.25,0.5
"ElkRiver","10mibuffer",NA,"firehighdays_erc95",1.66666666666667,"Q5",0.3485,0.697
"ElkRiver","10mibuffer","Q5","firemaxrun_bi",0.789473684210526,"Q6",0.1705,0.341
"ElkRiver","10mibuffer","Q5","firemaxrun_erc",1.81818181818182,"Q6",0.2435,0.487
"ElkRiver","10mibuffer","Q3","firep95_erc",3.62259032632856,"Q7",0.098,0.196
"ElkRiver","10mibuffer","Q3","firepeak_bi",3.05641891544757,"Q7",0.0885,0.177
"ElkRiver","10mibuffer","Q3","firepeak_erc",3.57202736275386,"Q6",0.175,0.35
"ElkRiver","10mibuffer","Q5","fireseasonlength_bi",37.2252747252747,"Q6",0.2575,0.515
"ElkRiver","10mibuffer","Q5","fireseasonlength_erc",40.3030303030303,"Q6",0.156,0.312
