"date","value","location","year","month","day"
1951-01-01,1.5625,"Bovill",1951,1,1
1951-01-02,1.421875,"Bovill",1951,1,2
1951-01-03,3.3671875,"Bovill",1951,1,3
1951-01-04,2.671875,"Bovill",1951,1,4
1951-01-05,0.828125,"Bovill",1951,1,5
1951-01-06,-0.0625,"Bovill",1951,1,6
1951-01-07,-1.546875,"Bovill",1951,1,7
1951-01-08,-1.9375,"Bovill",1951,1,8
1951-01-09,0.3203125,"Bovill",1951,1,9
1951-01-10,0.71875,"Bovill",1951,1,10
1951-01-11,1.4296875,"Bovill",1951,1,11
1951-01-12,2.4296875,"Bovill",1951,1,12
1951-01-13,0.8828125,"Bovill",1951,1,13
1951-01-14,3.5390625,"Bovill",1951,1,14
1951-01-15,7.28125,"Bovill",1951,1,15
1951-01-16,6.46875,"Bovill",1951,1,16
1951-01-17,3.5625,"Bovill",1951,1,17
1951-01-18,1.8203125,"Bovill",1951,1,18
1951-01-19,1.46875,"Bovill",1951,1,19
1951-01-20,0.3984375,"Bovill",1951,1,20
1951-01-21,3.7265625,"Bovill",1951,1,21
1951-01-22,3.390625,"Bovill",1951,1,22
1951-01-23,1.046875,"Bovill",1951,1,23
1951-01-24,2.6328125,"Bovill",1951,1,24
1951-01-25,6.3203125,"Bovill",1951,1,25
1951-01-26,7.28125,"Bovill",1951,1,26
1951-01-27,4.2734375,"Bovill",1951,1,27
1951-01-28,-8.546875,"Bovill",1951,1,28
1951-01-29,-10.7265625,"Bovill",1951,1,29
1951-01-30,-9.0234375,"Bovill",1951,1,30
1951-01-31,-8.4296875,"Bovill",1951,1,31
1951-02-01,-6.2734375,"Bovill",1951,2,1
1951-02-02,-1.9921875,"Bovill",1951,2,2
1951-02-03,3.609375,"Bovill",1951,2,3
1951-02-04,3.8515625,"Bovill",1951,2,4
1951-02-05,4.5078125,"Bovill",1951,2,5
1951-02-06,2.4609375,"Bovill",1951,2,6
1951-02-07,2.71875,"Bovill",1951,2,7
1951-02-08,5.1796875,"Bovill",1951,2,8
1951-02-09,7.0078125,"Bovill",1951,2,9
1951-02-10,10.2578125,"Bovill",1951,2,10
1951-02-11,9.1171875,"Bovill",1951,2,11
1951-02-12,4.328125,"Bovill",1951,2,12
1951-02-13,3.8828125,"Bovill",1951,2,13
1951-02-14,4.8671875,"Bovill",1951,2,14
1951-02-15,7.2109375,"Bovill",1951,2,15
1951-02-16,5.6171875,"Bovill",1951,2,16
1951-02-17,3.8125,"Bovill",1951,2,17
1951-02-18,4.828125,"Bovill",1951,2,18
1951-02-19,3.6015625,"Bovill",1951,2,19
1951-02-20,4.8984375,"Bovill",1951,2,20
1951-02-21,5.6796875,"Bovill",1951,2,21
1951-02-22,5.6875,"Bovill",1951,2,22
1951-02-23,6.1484375,"Bovill",1951,2,23
1951-02-24,5.5,"Bovill",1951,2,24
1951-02-25,2.890625,"Bovill",1951,2,25
1951-02-26,1.9609375,"Bovill",1951,2,26
1951-02-27,2.5390625,"Bovill",1951,2,27
1951-02-28,3.1875,"Bovill",1951,2,28
1951-03-01,3.03125,"Bovill",1951,3,1
1951-03-02,5.0703125,"Bovill",1951,3,2
1951-03-03,1.0390625,"Bovill",1951,3,3
1951-03-04,-0.0078125,"Bovill",1951,3,4
1951-03-05,2.1171875,"Bovill",1951,3,5
1951-03-06,-1.7421875,"Bovill",1951,3,6
1951-03-07,1.078125,"Bovill",1951,3,7
1951-03-08,1.671875,"Bovill",1951,3,8
1951-03-09,2.8671875,"Bovill",1951,3,9
1951-03-10,0.8125,"Bovill",1951,3,10
1951-03-11,2.75,"Bovill",1951,3,11
1951-03-12,4.9375,"Bovill",1951,3,12
1951-03-13,4.8125,"Bovill",1951,3,13
1951-03-14,5.609375,"Bovill",1951,3,14
1951-03-15,6.25,"Bovill",1951,3,15
1951-03-16,6.3203125,"Bovill",1951,3,16
1951-03-17,2.9765625,"Bovill",1951,3,17
1951-03-18,6.84375,"Bovill",1951,3,18
1951-03-19,9.703125,"Bovill",1951,3,19
1951-03-20,12.6484375,"Bovill",1951,3,20
1951-03-21,12.671875,"Bovill",1951,3,21
1951-03-22,6.5703125,"Bovill",1951,3,22
1951-03-23,7.2109375,"Bovill",1951,3,23
1951-03-24,11.1484375,"Bovill",1951,3,24
1951-03-25,13.6484375,"Bovill",1951,3,25
1951-03-26,13.7578125,"Bovill",1951,3,26
1951-03-27,9.796875,"Bovill",1951,3,27
1951-03-28,10.4296875,"Bovill",1951,3,28
1951-03-29,11.7578125,"Bovill",1951,3,29
1951-03-30,8.9921875,"Bovill",1951,3,30
1951-03-31,8.921875,"Bovill",1951,3,31
1951-04-01,13.5234375,"Bovill",1951,4,1
1951-04-02,16.3125,"Bovill",1951,4,2
1951-04-03,17.1015625,"Bovill",1951,4,3
1951-04-04,18.1796875,"Bovill",1951,4,4
1951-04-05,17.8671875,"Bovill",1951,4,5
1951-04-06,17.671875,"Bovill",1951,4,6
1951-04-07,17.6328125,"Bovill",1951,4,7
1951-04-08,16.40625,"Bovill",1951,4,8
1951-04-09,12.84375,"Bovill",1951,4,9
1951-04-10,12.6484375,"Bovill",1951,4,10
1951-04-11,15.1328125,"Bovill",1951,4,11
1951-04-12,20.1796875,"Bovill",1951,4,12
1951-04-13,21.5234375,"Bovill",1951,4,13
1951-04-14,19.1171875,"Bovill",1951,4,14
1951-04-15,16.9375,"Bovill",1951,4,15
1951-04-16,19.3984375,"Bovill",1951,4,16
1951-04-17,20.2734375,"Bovill",1951,4,17
1951-04-18,19.0625,"Bovill",1951,4,18
1951-04-19,12.453125,"Bovill",1951,4,19
1951-04-20,6.5390625,"Bovill",1951,4,20
1951-04-21,8.2265625,"Bovill",1951,4,21
1951-04-22,11.609375,"Bovill",1951,4,22
1951-04-23,15.3828125,"Bovill",1951,4,23
1951-04-24,16.03125,"Bovill",1951,4,24
1951-04-25,19.7421875,"Bovill",1951,4,25
1951-04-26,19.328125,"Bovill",1951,4,26
1951-04-27,18.359375,"Bovill",1951,4,27
1951-04-28,15.28125,"Bovill",1951,4,28
1951-04-29,9.7734375,"Bovill",1951,4,29
1951-04-30,6.828125,"Bovill",1951,4,30
1951-05-01,8,"Bovill",1951,5,1
1951-05-02,11.921875,"Bovill",1951,5,2
1951-05-03,17.859375,"Bovill",1951,5,3
1951-05-04,22.6171875,"Bovill",1951,5,4
1951-05-05,22.09375,"Bovill",1951,5,5
1951-05-06,22.796875,"Bovill",1951,5,6
1951-05-07,20.796875,"Bovill",1951,5,7
1951-05-08,13.140625,"Bovill",1951,5,8
1951-05-09,18.8984375,"Bovill",1951,5,9
1951-05-10,24.71875,"Bovill",1951,5,10
1951-05-11,25.390625,"Bovill",1951,5,11
1951-05-12,13.171875,"Bovill",1951,5,12
1951-05-13,11.7265625,"Bovill",1951,5,13
1951-05-14,10.5625,"Bovill",1951,5,14
1951-05-15,16.609375,"Bovill",1951,5,15
1951-05-16,21.859375,"Bovill",1951,5,16
1951-05-17,22.65625,"Bovill",1951,5,17
1951-05-18,19.046875,"Bovill",1951,5,18
1951-05-19,18.9765625,"Bovill",1951,5,19
1951-05-20,21.3203125,"Bovill",1951,5,20
1951-05-21,23.8203125,"Bovill",1951,5,21
1951-05-22,28.0234375,"Bovill",1951,5,22
1951-05-23,29.1328125,"Bovill",1951,5,23
1951-05-24,19.7734375,"Bovill",1951,5,24
1951-05-25,17.953125,"Bovill",1951,5,25
1951-05-26,21.109375,"Bovill",1951,5,26
1951-05-27,22.59375,"Bovill",1951,5,27
1951-05-28,20.96875,"Bovill",1951,5,28
1951-05-29,15.3828125,"Bovill",1951,5,29
1951-05-30,15.046875,"Bovill",1951,5,30
1951-05-31,14.890625,"Bovill",1951,5,31
1951-06-01,16.859375,"Bovill",1951,6,1
1951-06-02,21.0234375,"Bovill",1951,6,2
1951-06-03,20.203125,"Bovill",1951,6,3
1951-06-04,16.796875,"Bovill",1951,6,4
1951-06-05,14.3515625,"Bovill",1951,6,5
1951-06-06,11.0625,"Bovill",1951,6,6
1951-06-07,11.8984375,"Bovill",1951,6,7
1951-06-08,15.0703125,"Bovill",1951,6,8
1951-06-09,20.7109375,"Bovill",1951,6,9
1951-06-10,23.703125,"Bovill",1951,6,10
1951-06-11,25.203125,"Bovill",1951,6,11
1951-06-12,21.71875,"Bovill",1951,6,12
1951-06-13,21.4765625,"Bovill",1951,6,13
1951-06-14,25.3671875,"Bovill",1951,6,14
1951-06-15,27.2890625,"Bovill",1951,6,15
1951-06-16,26.203125,"Bovill",1951,6,16
1951-06-17,25.28125,"Bovill",1951,6,17
1951-06-18,24.921875,"Bovill",1951,6,18
1951-06-19,23.21875,"Bovill",1951,6,19
1951-06-20,23.5078125,"Bovill",1951,6,20
1951-06-21,23.5625,"Bovill",1951,6,21
1951-06-22,23.3671875,"Bovill",1951,6,22
1951-06-23,24.71875,"Bovill",1951,6,23
1951-06-24,22.328125,"Bovill",1951,6,24
1951-06-25,20.78125,"Bovill",1951,6,25
1951-06-26,24.7890625,"Bovill",1951,6,26
1951-06-27,25.046875,"Bovill",1951,6,27
1951-06-28,25.4296875,"Bovill",1951,6,28
1951-06-29,25.6171875,"Bovill",1951,6,29
1951-06-30,27.71875,"Bovill",1951,6,30
1951-07-01,28.4921875,"Bovill",1951,7,1
1951-07-02,26.53125,"Bovill",1951,7,2
1951-07-03,29.84375,"Bovill",1951,7,3
1951-07-04,31.0625,"Bovill",1951,7,4
1951-07-05,19.9921875,"Bovill",1951,7,5
1951-07-06,20.9765625,"Bovill",1951,7,6
1951-07-07,21.8125,"Bovill",1951,7,7
1951-07-08,23.7421875,"Bovill",1951,7,8
1951-07-09,24.1015625,"Bovill",1951,7,9
1951-07-10,24.9921875,"Bovill",1951,7,10
1951-07-11,25.421875,"Bovill",1951,7,11
1951-07-12,30.109375,"Bovill",1951,7,12
1951-07-13,32.5703125,"Bovill",1951,7,13
1951-07-14,33.046875,"Bovill",1951,7,14
1951-07-15,31.53125,"Bovill",1951,7,15
1951-07-16,32.390625,"Bovill",1951,7,16
1951-07-17,34.6484375,"Bovill",1951,7,17
1951-07-18,34.2421875,"Bovill",1951,7,18
1951-07-19,29.5703125,"Bovill",1951,7,19
1951-07-20,26.5078125,"Bovill",1951,7,20
1951-07-21,26.5234375,"Bovill",1951,7,21
1951-07-22,29.53125,"Bovill",1951,7,22
1951-07-23,33.6015625,"Bovill",1951,7,23
1951-07-24,34.2734375,"Bovill",1951,7,24
1951-07-25,31.8984375,"Bovill",1951,7,25
1951-07-26,33.1484375,"Bovill",1951,7,26
1951-07-27,34.140625,"Bovill",1951,7,27
1951-07-28,32.3828125,"Bovill",1951,7,28
1951-07-29,31.859375,"Bovill",1951,7,29
1951-07-30,32.5,"Bovill",1951,7,30
1951-07-31,33.5390625,"Bovill",1951,7,31
1951-08-01,32.0234375,"Bovill",1951,8,1
1951-08-02,33.40625,"Bovill",1951,8,2
1951-08-03,34.28125,"Bovill",1951,8,3
1951-08-04,31.25,"Bovill",1951,8,4
1951-08-05,28.6875,"Bovill",1951,8,5
1951-08-06,27.7734375,"Bovill",1951,8,6
1951-08-07,27.828125,"Bovill",1951,8,7
1951-08-08,27.1171875,"Bovill",1951,8,8
1951-08-09,28.640625,"Bovill",1951,8,9
1951-08-10,29.71875,"Bovill",1951,8,10
1951-08-11,29.828125,"Bovill",1951,8,11
1951-08-12,25.2578125,"Bovill",1951,8,12
1951-08-13,23.1328125,"Bovill",1951,8,13
1951-08-14,24.6875,"Bovill",1951,8,14
1951-08-15,28.5390625,"Bovill",1951,8,15
1951-08-16,29.1328125,"Bovill",1951,8,16
1951-08-17,29.6484375,"Bovill",1951,8,17
1951-08-18,30.609375,"Bovill",1951,8,18
1951-08-19,31.2578125,"Bovill",1951,8,19
1951-08-20,31.140625,"Bovill",1951,8,20
1951-08-21,31.7890625,"Bovill",1951,8,21
1951-08-22,30.453125,"Bovill",1951,8,22
1951-08-23,23.6328125,"Bovill",1951,8,23
1951-08-24,22.1484375,"Bovill",1951,8,24
1951-08-25,23.0390625,"Bovill",1951,8,25
1951-08-26,25.2578125,"Bovill",1951,8,26
1951-08-27,24.3125,"Bovill",1951,8,27
1951-08-28,21.546875,"Bovill",1951,8,28
1951-08-29,15.7265625,"Bovill",1951,8,29
1951-08-30,15.0390625,"Bovill",1951,8,30
1951-08-31,15.6875,"Bovill",1951,8,31
1951-09-01,19.90625,"Bovill",1951,9,1
