"date","prcp","coord","day","month","year"
1951-01-01,0.6015625,"Bovill",1,1,1951
1951-01-02,13.0234375,"Bovill",2,1,1951
1951-01-03,15.7734375,"Bovill",3,1,1951
1951-01-04,6.03125,"Bovill",4,1,1951
1951-01-05,5.0234375,"Bovill",5,1,1951
1951-01-06,0,"Bovill",6,1,1951
1951-01-07,0,"Bovill",7,1,1951
1951-01-08,0,"Bovill",8,1,1951
1951-01-09,0,"Bovill",9,1,1951
1951-01-10,0,"Bovill",10,1,1951
1951-01-11,3.3125,"Bovill",11,1,1951
1951-01-12,1.859375,"Bovill",12,1,1951
1951-01-13,5.9765625,"Bovill",13,1,1951
1951-01-14,6.40625,"Bovill",14,1,1951
1951-01-15,5.171875,"Bovill",15,1,1951
1951-01-16,2.9765625,"Bovill",16,1,1951
1951-01-17,20.5703125,"Bovill",17,1,1951
1951-01-18,0.8828125,"Bovill",18,1,1951
1951-01-19,3.2421875,"Bovill",19,1,1951
1951-01-20,2.84375,"Bovill",20,1,1951
1951-01-21,6.2109375,"Bovill",21,1,1951
1951-01-22,12.84375,"Bovill",22,1,1951
1951-01-23,1.6484375,"Bovill",23,1,1951
1951-01-24,6,"Bovill",24,1,1951
1951-01-25,1.7421875,"Bovill",25,1,1951
1951-01-26,6.8125,"Bovill",26,1,1951
1951-01-27,1.1484375,"Bovill",27,1,1951
1951-01-28,0,"Bovill",28,1,1951
1951-01-29,0,"Bovill",29,1,1951
1951-01-30,0,"Bovill",30,1,1951
1951-01-31,0,"Bovill",31,1,1951
1951-02-01,0,"Bovill",1,2,1951
1951-02-02,12.78125,"Bovill",2,2,1951
1951-02-03,3.7265625,"Bovill",3,2,1951
1951-02-04,1.7265625,"Bovill",4,2,1951
1951-02-05,1.75,"Bovill",5,2,1951
1951-02-06,0,"Bovill",6,2,1951
1951-02-07,10.828125,"Bovill",7,2,1951
1951-02-08,11.671875,"Bovill",8,2,1951
1951-02-09,17.3125,"Bovill",9,2,1951
1951-02-10,5.4296875,"Bovill",10,2,1951
1951-02-11,13.2421875,"Bovill",11,2,1951
1951-02-12,4.9609375,"Bovill",12,2,1951
1951-02-13,0,"Bovill",13,2,1951
1951-02-14,0,"Bovill",14,2,1951
1951-02-15,0,"Bovill",15,2,1951
1951-02-16,2.21875,"Bovill",16,2,1951
1951-02-17,0,"Bovill",17,2,1951
1951-02-18,3.2265625,"Bovill",18,2,1951
1951-02-19,0,"Bovill",19,2,1951
1951-02-20,1.4296875,"Bovill",20,2,1951
1951-02-21,0,"Bovill",21,2,1951
1951-02-22,0,"Bovill",22,2,1951
1951-02-23,0,"Bovill",23,2,1951
1951-02-24,0,"Bovill",24,2,1951
1951-02-25,2.203125,"Bovill",25,2,1951
1951-02-26,0,"Bovill",26,2,1951
1951-02-27,0,"Bovill",27,2,1951
1951-02-28,0,"Bovill",28,2,1951
1951-03-01,0,"Bovill",1,3,1951
1951-03-02,0,"Bovill",2,3,1951
1951-03-03,0,"Bovill",3,3,1951
1951-03-04,10.296875,"Bovill",4,3,1951
1951-03-05,2.7890625,"Bovill",5,3,1951
1951-03-06,4.71875,"Bovill",6,3,1951
1951-03-07,2.2578125,"Bovill",7,3,1951
1951-03-08,0.4765625,"Bovill",8,3,1951
1951-03-09,5.3984375,"Bovill",9,3,1951
1951-03-10,0,"Bovill",10,3,1951
1951-03-11,0,"Bovill",11,3,1951
1951-03-12,0.7578125,"Bovill",12,3,1951
1951-03-13,4.8984375,"Bovill",13,3,1951
1951-03-14,0,"Bovill",14,3,1951
1951-03-15,4.3671875,"Bovill",15,3,1951
1951-03-16,7.359375,"Bovill",16,3,1951
1951-03-17,0,"Bovill",17,3,1951
1951-03-18,0,"Bovill",18,3,1951
1951-03-19,0,"Bovill",19,3,1951
1951-03-20,0,"Bovill",20,3,1951
1951-03-21,0,"Bovill",21,3,1951
1951-03-22,1.9765625,"Bovill",22,3,1951
1951-03-23,0,"Bovill",23,3,1951
1951-03-24,0,"Bovill",24,3,1951
1951-03-25,0,"Bovill",25,3,1951
1951-03-26,0,"Bovill",26,3,1951
1951-03-27,0,"Bovill",27,3,1951
1951-03-28,0,"Bovill",28,3,1951
1951-03-29,0,"Bovill",29,3,1951
1951-03-30,3.609375,"Bovill",30,3,1951
1951-03-31,0,"Bovill",31,3,1951
