ObjectID,GlobalID,Voluntary Consent to Participate,ID1,Q1a,Zip_code,Nearest_Town,ID2,ID3,ID3b,ID4,ID4b,ID5,ID5a,ID6,ID7,ID7a,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID14b1,ID15,ID16,IDI6a,ID17,ID17a,ID17b,ID17c,ID17d,ID17e,ID18,ID19,ID20,ID21,ID21b,ID22,ID23,ID24,ID25,ID26,ID27,ID28a,ID28b,ID28c,ID29,ID29a,ID29bi,ID29bii,ID29biii,ID29biv,ID29bv,ID29bvi,ID29ci,ID29Cii,ID29Ciii,ID29Civ,ID29Cv,ID29Cvi,ID29di,ID29dii,ID29diii,ID29div,ID29e,ID29f,ID29g,ID29h,ID29i,ID29j,ID29k,ID29l,ID29m,ID30,ID31,ID32,ID32a,ID33,CreationDate,Creator,EditDate,Editor,x,y,ID14_2,ID14_3,ID14_7,ID14_5,ID14_6,ID14_0,ID14_4,ID14_8,ID14_1,ID14_9,ID21_5,ID21_2,ID21_7,ID21_6,ID21_3,ID21_0,ID21_4,ID21_1,ID29_2,ID29_5,ID29_6,ID29_8,ID29_3,ID29_4,ID29_7,ID29_0,ID29_1
37,54db2d1c-82b2-40f3-8aad-5a4379a352e7,Agree,bovill,Bovill,83806,Bovill,52,Once a day,,Mobile phone weather app,,0,,4,4,,90,1,1,1,4,4,"Bought_an_air_conditioner_for_m,Upgraded_central_heating/coolin,Made_my_home_more_energy_effici",,5,4,,4,4,4,4,4,1,1,1,1,other,cut brash back,5,5,4,4,4,4,4,Over 10 years,4,Spent_less_time_outdoors,,1,4,3,1,4,2,4,3,4,5,5,4,2,2,2,2,4,6,4,6,4,1,4,4,4,Over 65,High school graduate,Retired,,climate change happening,0.020454861,,0.020454861,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
61,4df0143f-ab33-49e0-89b9-a4065ff0694e,Agree,bovill,Bovill,83806,Bovill,66,Every hour,,Radio,,1,7,7,7,7,90,7,2,7,7,7,"Spent_less_time_outdoors,Spent_more_time_in_public_space",,7,7,7,7,7,1,7,1,1,7,7,7,Spent_less_time_outdoors,,7,7,7,4,7,7,7,Never,5,"Spent_less_time_outdoors,Don't_open_windows_during_fire_",,4,4,4,4,4,4,3,3,3,3,3,3,5,2,5,5,1,7,7,1,7,7,7,7,7,Over 65,High school graduate,Retired,,getting hotter progressively each summer with less snowfall ptlatch and moose creeks are dry right now hasnt happened so far in my life,0.022732639,,0.022732639,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
98,39b59ea0-e9fb-4ef1-a9cf-09492d532769,Agree,Bovill 83806,Bovill,83806,Bovill,8,Once a day,,Mobile phone weather app,,1,4,3,7,7,90,4,6,2,7,7,"Spent_less_time_outdoors,Bought_an_air_conditioner_for_m",,7,2,6,1,1,1,1,1,1,7,7,7,"Made_my_home_more_water_efficie,Planted_different/drought_toler,Used_irrigation",,7,7,7,1,7,7,7,Between 1 and 2 years,5,"Don't_open_windows_during_fire_,Spent_less_time_outdoors",,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,1,7,7,7,7,7,7,7,1,46-65,High school graduate,Unemployed,disebility,,0.006680556,,0.006680556,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
126,f029e515-f15f-478f-b50c-31776df5bc17,Agree,Bovill 83806,Bovill,83806,Bovill,11,Once a day,,Mobile phone weather app,,1,6,5,5,5,110,4,4,4,4,5,Bought_an_air_conditioner_for_m,,5,4,,4,6,5,5,3,2,6,4,4,Done_nothing,,6,7,7,3,7,7,7,Between 5 and 10 years,5,Insured_my_property/business,,5,5,5,5,5,5,4,4,4,4,4,4,5,3,3,3,3,6,6,3,7,7,5,7,6,Over 65,Some College,Healthcare,,,0.014164352,,0.014164352,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
169,63eb6cad-1cad-44c9-8cb9-5d018883b982,Agree,Bovill,Bovill,83806,Bovill,10,Once a week,,Mobile phone weather app,,0,,5,4,,90,4,4,3,1,1,"Done_nothing,Don't_feel_it's_an_issue",,4,3,4,6,5,5,4,4,4,4,1,1,Done_nothing,,4,4,4,5,4,4,4,Over 10 years,3,Done_nothing,,2,1,1,2,3,3,4,4,4,4,4,4,2,3,4,3,4,4,4,5,4,1,1,2,2,31-45,College undergraduate degree,Farming/Forestry,,,0.009572917,frusere_ui_uidaho,0.009572917,frusere_ui_uidaho,-116.9970426,46.72812062,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
170,67fe32f5-4955-444f-a2bc-cf3a185cc5ee,Agree,Bovill,Bovill,83806,Bovill,14,Once a day,,Mobile phone weather app,,0,,4,4,,100,4,5,4,5,1,Don't_feel_it's_an_issue,,5,5,4,4,4,5,4,3,3,5,4,2,Done_nothing,,4,4,6,4,4,5,6,In the past year,5,"Spent_less_time_outdoors,Made_my_home/property/business_,Insured_my_property/business,Don't_open_windows_during_fire_",,5,3,3,5,4,5,1,3,5,5,2,2,2,2,5,5,4,4,4,4,4,5,5,5,5,46-65,Some College,Industry/Business,office assistant,,0.012643519,frusere_ui_uidaho,0.012643519,frusere_ui_uidaho,-116.9967645,46.72812876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
171,df674125-a0ce-4d59-b5f8-a779a1e16ea3,Agree,Bovill,Bovill,83806,Bovill,43,Once a day,,Mobile phone weather app,,0,,4,4,,85,4,4,4,7,7,Done_nothing,,4,4,,4,4,4,5,4,4,4,7,7,Used_irrigation,,6,6,6,6,6,3,4,Never,5,Done_nothing,,3,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4,3,6,6,5,5,2,2,5,5,Over 65,Some College,Farming/Forestry,,lighting strikes are more. people moving into remote areas affect how and when to handle fires and can hardly let fires just burn,0.016478009,frusere_ui_uidaho,0.016478009,frusere_ui_uidaho,-116.9967023,46.72785601,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
172,15945a24-2edd-4890-84da-1cc924723c89,Agree,Bovill,Bovill,83806,Bovill,14,Never/Rarely,,Mobile phone weather app,,1,5,7,7,7,109,7,1,7,7,7,"Spent_less_time_outdoors,Spent_more_time_in_public_space",,7,4,,7,4,4,4,5,5,5,5,5,Done_nothing,,7,7,7,7,7,7,7,Never,5,Spent_less_time_outdoors,,5,5,5,5,4,4,4,4,5,3,1,1,4,4,5,5,7,7,7,7,7,7,7,7,7,18-30,High school graduate,Restaurant/Food Service,,,0.019590278,frusere_ui_uidaho,0.019590278,frusere_ui_uidaho,-116.9962217,46.72772485,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
173,d481a332-92a2-40ae-af21-c0d4b7f817be,Agree,83806,Bovill,83806,Bovill,10,Once a week,,Mobile phone weather app,,1,5,6,6,3,98,6,2,6,5,7,"Visited_family_and_friends_more,Spent_less_time_outdoors,Bought_an_air_conditioner_for_m",,7,5,6,6,7,2,5,2,2,6,5,7,Spent_less_time_outdoors,,7,7,6,2,6,6,7,In the past year,5,"Spent_less_time_outdoors,Don't_open_windows_during_fire_",,3,3,4,4,4,4,5,5,4,4,3,3,4,5,5,5,2,7,7,2,6,5,7,7,7,18-30,Some high school,Construction/Maintenance,landscapes,,0.022760417,frusere_ui_uidaho,0.022760417,frusere_ui_uidaho,-116.996318,46.72776361,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
174,e2840147-fc30-4a19-8bc8-58532d7a7228,Agree,Bovill,Bovill,83806,Bovill,12,Once a day,,Mobile phone weather app,,1,3,5,6,6,105,6,5,7,6,6,"Visited_family_and_friends_more,Spent_less_time_outdoors",,6,4,,5,2,5,5,5,5,6,6,6,Don't_feel_it's_an_issue,,6,6,6,4,5,7,7,Between 2 and 5 years,5,"Don't_open_windows_during_fire_,Insured_my_property/business",,4,5,4,4,5,4,4,5,5,1,1,3,5,4,4,4,2,6,5,3,6,6,6,7,7,46-65,College undergraduate degree,Healthcare,,,0.025721065,frusere_ui_uidaho,0.025721065,frusere_ui_uidaho,-116.9961997,46.72785373,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
