"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","10mibuffer","Q1","firehighdays_bi90",1.72413793103448,"Q6",0.1935,0.8065,0.387,19.3666666666667,5.7,23.8,18.1
"Bovill","10mibuffer","Q1","firehighdays_bi95",0,"Q4",0.4905,0.5095,0.981,6.6,1.2,7.3,6.1
"Bovill","10mibuffer","Q1","firehighdays_erc90",0,"Q4",0.4905,0.5095,0.981,8.43333333333333,2.2,11.2,9
"Bovill","10mibuffer","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,1.63333333333333,0.2,1.7,1.5
"Bovill","10mibuffer","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.33333333333333,3.5,8.3,4.8
"Bovill","10mibuffer","Q5","firemaxrun_erc",0,"Q4",0.4905,0.5095,0.981,4.73333333333333,2.2,6,3.8
"Bovill","10mibuffer","Q3","firep95_erc",4.14730026732017,"Q7",0.1005,0.8995,0.201,57.4714908868241,51.5013171888744,60.5530314517237,9.05171426284931
"Bovill","10mibuffer","Q3","firepeak_bi",3.47702740271299,"Q7",0.114,0.886,0.228,55.8022819221453,50.4814272836361,57.3944018678753,6.91297458423917
"Bovill","10mibuffer","Q3","firepeak_erc",4.70011811554101,"Q7",0.133,0.867,0.266,65.8237454011374,59.9737499866504,67.3273314105206,7.35358142387014
"Bovill","10mibuffer","Q5","fireseasonlength_bi",22.5,"Q5",0.404,0.596,0.808,181.275862068966,54.6666666666667,199.7,145.033333333333
"Bovill","10mibuffer","Q5","fireseasonlength_erc",10,"Q5",0.33,0.67,0.66,74.4375,6,70.6666666666667,64.6666666666667
"Bovill","10mibuffer","Q3","fireseverity_bi90",3.43730650612192,"Q5",0.338,0.662,0.676,59.1016826517539,9.03087099046457,66.5509838830549,57.5201128925903
"Bovill","10mibuffer","Q3","fireseverity_erc90",0,"Q4",0.4905,0.5095,0.981,26.9608185994293,5.05914200625346,31.8091249849478,26.7499829786943
"Bovill","10mibuffer","Q4","firestart_any_bi90",1.37931034482759,"Q5",0.4035,0.5965,0.807,63.4333333333333,95.4,66,-29.4
"Bovill","10mibuffer","Q4","firestart_any_erc90",-3.71710526315789,"Q3",0.5795,0.4205,0.841,89.3888888888889,111,78.5714285714286,-32.4285714285714
"Bovill","10mibuffer","Q4","firestart_k2_erc90",-24.1428571428571,"Q2",0.8205,0.1795,0.359,100.8125,136,98.3333333333333,-37.6666666666667
"Bovill","10mibuffer","Q4","firestart_k3_bi90",0.687645687645688,"Q4",0.4705,0.5295,0.941,92.3076923076923,155.5,81.1,-74.4
"Bovill","10mibuffer","Q4","firestart_k3_erc90",-18.1818181818182,"Q3",0.6765,0.3235,0.647,106.333333333333,149,110,-39
"Bovill","10mibuffer","Q4","firestart_wyday_bi",0.687645687645688,"Q4",0.4705,0.5295,0.941,92.3076923076923,155.5,81.1,-74.4
"Bovill","10mibuffer","Q4","firestart_wyday_erc",-18.1818181818182,"Q3",0.6765,0.3235,0.647,106.333333333333,149,110,-39
"Bovill","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.5095,0.981,4.46666666666667,0,6,6
"Bovill","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.5095,0.981,2.1,0,2.3,2.3
"Bovill","none","Q1","firehighdays_bi90",0.833333333333333,"Q5",0.314,0.686,0.628,18.6,6.1,22.6,16.5
"Bovill","none","Q1","firehighdays_bi95",0,"Q4",0.4905,0.5095,0.981,6.03333333333333,1,7.1,6.1
"Bovill","none","Q1","firehighdays_erc90",0,"Q4",0.4905,0.5095,0.981,6.73333333333333,1.9,8.1,6.2
"Bovill","none","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,2.26666666666667,0.2,3.4,3.2
"Bovill","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.03333333333333,3.9,8.4,4.5
"Bovill","none","Q5","firemaxrun_erc",0,"Q4",0.4905,0.5095,0.981,3.9,1.9,4.7,2.8
"Bovill","none","Q3","firep95_erc",3.90093268621537,"Q7",0.0865,0.9135,0.173,53.9901247969733,49.1087855860392,55.7876666666667,6.67888108062744
"Bovill","none","Q3","firepeak_bi",3.39260326287685,"Q6",0.1735,0.8265,0.347,52.8956609047784,48.2572537231445,53.4733333333333,5.21607961018879
"Bovill","none","Q3","firepeak_erc",4.62874959309895,"Q6",0.174,0.826,0.348,62.3948314921061,57.5538167444865,62.4966666666667,4.9428499221802
"Bovill","none","Q5","fireseasonlength_bi",17.3076923076923,"Q7",0.0835,0.9165,0.167,148.642857142857,55.6666666666667,175.2,119.533333333333
"Bovill","none","Q5","fireseasonlength_erc",4.31372549019608,"Q4",0.435,0.565,0.87,89.7142857142857,16,32.5714285714286,16.5714285714286
