"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","10mibuffer","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.33333333333333,3.5,8.3,4.8
"Bovill","10mibuffer","Q5","firemaxrun_erc",0,"Q4",0.4905,0.5095,0.981,4.73333333333333,2.2,6,3.8
"Bovill","10mibuffer","Q5","fireseasonlength_bi",22.5,"Q5",0.404,0.596,0.808,181.275862068966,54.6666666666667,199.7,145.033333333333
"Bovill","10mibuffer","Q5","fireseasonlength_erc",10,"Q5",0.33,0.67,0.66,74.4375,6,70.6666666666667,64.6666666666667
"Bovill","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.03333333333333,3.9,8.4,4.5
"Bovill","none","Q5","firemaxrun_erc",0,"Q4",0.4905,0.5095,0.981,3.9,1.9,4.7,2.8
"Bovill","none","Q5","fireseasonlength_bi",17.3076923076923,"Q7",0.0835,0.9165,0.167,148.642857142857,55.6666666666667,175.2,119.533333333333
"Bovill","none","Q5","fireseasonlength_erc",4.31372549019608,"Q4",0.435,0.565,0.87,89.7142857142857,16,32.5714285714286,16.5714285714286
"Deary","10mibuffer","Q5","firemaxrun_bi",0.625,"Q6",0.1995,0.8005,0.399,8.66666666666667,3.9,11.2,7.3
"Deary","10mibuffer","Q5","firemaxrun_erc",1.84210526315789,"Q6",0.2085,0.7915,0.417,8.06666666666667,3.3,12.4,9.1
"Deary","10mibuffer","Q5","fireseasonlength_bi",25.8846153846154,"Q5",0.305,0.695,0.61,201.137931034483,80.5555555555556,247.8,167.244444444444
"Deary","10mibuffer","Q5","fireseasonlength_erc",20.9090909090909,"Q6",0.2455,0.7545,0.491,128.791666666667,39.8,127.9,88.1
"Deary","none","Q5","firemaxrun_bi",1.11111111111111,"Q6",0.286,0.714,0.572,8.03333333333333,2.9,10.8,7.9
"Deary","none","Q5","firemaxrun_erc",1.85185185185185,"Q6",0.233,0.767,0.466,7.73333333333333,2.3,12.5,10.2
"Deary","none","Q5","fireseasonlength_bi",31.8181818181818,"Q6",0.2545,0.7455,0.509,217.25,83.375,261.7,178.325
"Deary","none","Q5","fireseasonlength_erc",48.2459677419355,"Q5",0.315,0.685,0.63,138,5,201.777777777778,196.777777777778
"ElkRiver","10mibuffer","Q5","firemaxrun_bi",0.789473684210526,"Q6",0.1705,0.8295,0.341,8.83333333333333,4,11,7
"ElkRiver","10mibuffer","Q5","firemaxrun_erc",1.81818181818182,"Q6",0.2435,0.7565,0.487,10.9666666666667,5.4,15.9,10.5
"ElkRiver","10mibuffer","Q5","fireseasonlength_bi",37.2252747252747,"Q6",0.2575,0.7425,0.515,272.285714285714,162.75,321.8,159.05
"ElkRiver","10mibuffer","Q5","fireseasonlength_erc",40.3030303030303,"Q6",0.156,0.844,0.312,206.481481481481,91.7142857142857,265.4,173.685714285714
"ElkRiver","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.6,3.5,8.7,5.2
"ElkRiver","none","Q5","firemaxrun_erc",1.66666666666667,"Q6",0.2595,0.7405,0.519,9.26666666666667,3.3,13.8,10.5
"ElkRiver","none","Q5","fireseasonlength_bi",28.8235294117647,"Q6",0.216,0.784,0.432,228.678571428571,127.375,286.8,159.425
"ElkRiver","none","Q5","fireseasonlength_erc",28.3,"Q6",0.2165,0.7835,0.433,159.173913043478,9.33333333333333,199.8,190.466666666667
"Juliaetta","10mibuffer","Q5","firemaxrun_bi",0.909090909090909,"Q6",0.1665,0.8335,0.333,14.1,8.2,18.6,10.4
"Juliaetta","10mibuffer","Q5","firemaxrun_erc",3.07692307692308,"Q7",0.0355,0.9645,0.071,22.3,14.1,31.3,17.2
"Juliaetta","10mibuffer","Q5","fireseasonlength_bi",20,"Q7",0.115,0.885,0.23,301.433333333333,260.5,321.9,61.4
"Juliaetta","10mibuffer","Q5","fireseasonlength_erc",21.2310606060606,"Q6",0.178,0.822,0.356,285.103448275862,219.222222222222,316.8,97.5777777777778
"Juliaetta","none","Q5","firemaxrun_bi",1.6,"Q7",0.05,0.95,0.1,15.6666666666667,9.7,20.4,10.7
"Juliaetta","none","Q5","firemaxrun_erc",3.04347826086957,"Q7",0.05,0.95,0.1,24.9666666666667,16.6,34,17.4
"Juliaetta","none","Q5","fireseasonlength_bi",17.1428571428571,"Q6",0.1545,0.8455,0.309,307.066666666667,265.4,328.5,63.1
"Juliaetta","none","Q5","fireseasonlength_erc",20.5441176470588,"Q6",0.177,0.823,0.354,292.655172413793,227.555555555556,321.4,93.8444444444444
"Kendrick","10mibuffer","Q5","firemaxrun_bi",1.2,"Q7",0.1,0.9,0.2,13.3666666666667,7.6,17.5,9.9
"Kendrick","10mibuffer","Q5","firemaxrun_erc",2.75862068965517,"Q7",0.0375,0.9625,0.075,19.6333333333333,12.5,29.2,16.7
"Kendrick","10mibuffer","Q5","fireseasonlength_bi",20,"Q6",0.1575,0.8425,0.315,283.333333333333,226,305.7,79.7
"Kendrick","10mibuffer","Q5","fireseasonlength_erc",21.6666666666667,"Q6",0.2125,0.7875,0.425,263.793103448276,170.666666666667,302.7,132.033333333333
"Kendrick","none","Q5","firemaxrun_bi",1.25,"Q7",0.0945,0.9055,0.189,14.6,8.9,18.6,9.7
"Kendrick","none","Q5","firemaxrun_erc",2.5,"Q7",0.074,0.926,0.148,21.6,13.3,31.3,18
