town,buffer,wateryear,metric,value
Bovill,10mibuffer,1980,annualanometo,-96.76933664120855
Bovill,10mibuffer,1981,annualanometo,-52.874974366142574
Bovill,10mibuffer,1982,annualanometo,-89.62465559316489
Bovill,10mibuffer,1983,annualanometo,-104.54073427907267
Bovill,10mibuffer,1984,annualanometo,-88.62050994496646
Bovill,10mibuffer,1985,annualanometo,-56.1209192116181
Bovill,10mibuffer,1986,annualanometo,-71.68279875029302
Bovill,10mibuffer,1987,annualanometo,-13.09097176847111
Bovill,10mibuffer,1988,annualanometo,13.693220019785409
Bovill,10mibuffer,1989,annualanometo,-64.71657337252853
Bovill,10mibuffer,1990,annualanometo,-69.63941403660753
Bovill,10mibuffer,1991,annualanometo,-74.9071120441356
Bovill,10mibuffer,1992,annualanometo,-7.19860117997039
Bovill,10mibuffer,1993,annualanometo,-148.5900089933989
Bovill,10mibuffer,1994,annualanometo,12.596489054061099
Bovill,10mibuffer,1995,annualanometo,-121.72742405640531
Bovill,10mibuffer,1996,annualanometo,-116.78578283109927
Bovill,10mibuffer,1997,annualanometo,-111.35901261217244
Bovill,10mibuffer,1998,annualanometo,-64.98745240932872
Bovill,10mibuffer,1999,annualanometo,-81.57725408355324
Bovill,10mibuffer,2000,annualanometo,-58.66689114969867
Bovill,10mibuffer,2001,annualanometo,-73.8085946128728
Bovill,10mibuffer,2002,annualanometo,-89.52630482325326
Bovill,10mibuffer,2003,annualanometo,-15.598458487924496
Bovill,10mibuffer,2004,annualanometo,-60.79886584335556
Bovill,10mibuffer,2005,annualanometo,-37.096122716176566
Bovill,10mibuffer,2006,annualanometo,42.58379158377672
Bovill,10mibuffer,2007,annualanometo,48.64408313687325
Bovill,10mibuffer,2008,annualanometo,-37.96412411301099
Bovill,10mibuffer,2009,annualanometo,18.78038962893837
Bovill,10mibuffer,2010,annualanometo,-33.95598827457971
Bovill,10mibuffer,2011,annualanometo,-56.708833096516145
Bovill,10mibuffer,2012,annualanometo,-17.667068117444853
Bovill,10mibuffer,2013,annualanometo,4.5158627396170665
Bovill,10mibuffer,2014,annualanometo,6.286857438835073
Bovill,10mibuffer,2015,annualanometo,146.73167630617823
Bovill,10mibuffer,2016,annualanometo,54.87844352325466
Bovill,10mibuffer,2017,annualanometo,64.43598356808327
Bovill,10mibuffer,2018,annualanometo,35.12257869843439
Bovill,10mibuffer,2019,annualanometo,-7.988739624684719
Bovill,10mibuffer,2020,annualanometo,35.06931567473097
Bovill,10mibuffer,2021,annualanometo,135.04910015229711
Bovill,10mibuffer,2022,annualanometo,42.37898527986912
Bovill,10mibuffer,2023,annualanometo,65.44092758247558
Bovill,10mibuffer,2024,annualanometo,46.70282681675815
Bovill,10mibuffer,2025,annualanometo,117.8686706655496
Bovill,10mibuffer,1980,annualanomprecip,39.092372277128106
Bovill,10mibuffer,1981,annualanomprecip,15.881584703749713
Bovill,10mibuffer,1982,annualanomprecip,181.91892661672614
Bovill,10mibuffer,1983,annualanomprecip,167.91279061042994
Bovill,10mibuffer,1984,annualanomprecip,115.5773151357565
Bovill,10mibuffer,1985,annualanomprecip,45.222991047365525
Bovill,10mibuffer,1986,annualanomprecip,8.156658296040183
Bovill,10mibuffer,1987,annualanomprecip,-179.2096275922089
Bovill,10mibuffer,1988,annualanomprecip,-150.20473450671153
Bovill,10mibuffer,1989,annualanomprecip,71.67960259655591
Bovill,10mibuffer,1990,annualanomprecip,97.90285823853398
Bovill,10mibuffer,1991,annualanomprecip,118.3340880234983
Bovill,10mibuffer,1992,annualanomprecip,-73.40722007688272
Bovill,10mibuffer,1993,annualanomprecip,-20.826812336539597
Bovill,10mibuffer,1994,annualanomprecip,-312.76950861763544
Bovill,10mibuffer,1995,annualanomprecip,188.505749631093
Bovill,10mibuffer,1996,annualanomprecip,320.28288250644204
Bovill,10mibuffer,1997,annualanomprecip,470.1219950609807
Bovill,10mibuffer,1998,annualanomprecip,-26.42023131557142
Bovill,10mibuffer,1999,annualanomprecip,118.86297761984574
Bovill,10mibuffer,2000,annualanomprecip,111.48744072465989
Bovill,10mibuffer,2001,annualanomprecip,-286.93949680079714
Bovill,10mibuffer,2002,annualanomprecip,130.85106443892576
Bovill,10mibuffer,2003,annualanomprecip,-54.970455332062166
Bovill,10mibuffer,2004,annualanomprecip,93.83280008886786
Bovill,10mibuffer,2005,annualanomprecip,-176.7018650002232
Bovill,10mibuffer,2006,annualanomprecip,63.002448796022385
Bovill,10mibuffer,2007,annualanomprecip,-57.37888962702998
Bovill,10mibuffer,2008,annualanomprecip,80.34834518109345
Bovill,10mibuffer,2009,annualanomprecip,-25.290849662600664
Bovill,10mibuffer,2010,annualanomprecip,-209.1945712553326
Bovill,10mibuffer,2011,annualanomprecip,202.64348664227296
Bovill,10mibuffer,2012,annualanomprecip,46.61870597442277
Bovill,10mibuffer,2013,annualanomprecip,-9.43781269057986
Bovill,10mibuffer,2014,annualanomprecip,-72.26032581130539
Bovill,10mibuffer,2015,annualanomprecip,-169.68975422476876
Bovill,10mibuffer,2016,annualanomprecip,-2.269293629059871
Bovill,10mibuffer,2017,annualanomprecip,205.43383873388564
Bovill,10mibuffer,2018,annualanomprecip,69.34104901812897
Bovill,10mibuffer,2019,annualanomprecip,-51.07429156817074
Bovill,10mibuffer,2020,annualanomprecip,-108.61430390791271
Bovill,10mibuffer,2021,annualanomprecip,-180.44131470956617
Bovill,10mibuffer,2022,annualanomprecip,86.80586206986179
Bovill,10mibuffer,2023,annualanomprecip,-158.0617380507411
Bovill,10mibuffer,2024,annualanomprecip,-186.55010964888558
Bovill,10mibuffer,2025,annualanomprecip,-224.33759362080258
