town,buffer,wateryear,firehighdays_bi90,firehighdays_erc90,firehighdays_bi95,firehighdays_erc95,fireseverity_bi90,fireseverity_erc90,firesummerhighdays_bi90,firesummerhighdays_erc90,firestart_wyday_bi,firestart_wyday_erc,firestart_any_bi90,firestart_any_erc90,firestart_k2_erc90,firestart_k3_erc90,firestart_k3_bi90,firemaxrun_bi,firemaxrun_erc,fireseasonlength_bi,fireseasonlength_erc,firepeak_bi,firepeak_erc,firep95_erc,meananntemp,meanminanntemp,meanmaxanntemp,maxminjjatemp,maxmaxjjatemp,meanjjatemp,frostdays,summerdays,tmaxgt90thdays,tmingt90thdays,durtmaxgt90th,gsstartdoy,gsenddoy,gslength,meananomanntemp,meanminanomanntemp,meanmaxanomanntemp,maxminanomjjatemp,maxmaxanomjjatemp,meananomjjatemp,annualprecip,annualeto,annualpwd,coolseasonprecip,coolseasondrydays1mm,maxdrydur,maxcoolseasondrydur,preciponsetwydoy,precipCOMwydoy,annualanomprecip,annualanometo,annualanompwd,coolseasonanomprecip
Bovill,10mibuffer,1980,13,20,2,10,21.035535711676054,70.63345654764395,0,0,3,6,3,6,6,6,3,6,8,199,202,48.695845685910925,50.61637688191312,47.818719678972315,6.212480803051835,-0.01174626983089357,12.436707875934564,12.071094513673017,34.59875251383403,14.337314990642824,166,32,26,38,0,274,270,-4,-0.9121207010288597,-0.6828317444480945,-1.141409657609625,4.358456568295355,5.150668568981111,-2.5547951067291232,977.1526452587942,875.2597688710174,101.89287638777682,591.4683027234752,84,33,33,15,161.9094011107227,39.092372277128106,-96.76933664120855,135.86170891833666,-77.99711374662007
Bovill,10mibuffer,1981,20,27,9,11,46.85333441637394,65.55046452584023,0,0,46,26,46,26,26,26,46,5,11,152,173,45.789879745213064,56.36211381243444,50.705583991286645,7.152382733636307,0.5875085895322175,13.717256877740395,13.722882685315994,34.578907965121005,15.331241539583214,176,64,54,44,16,275,259,-16,0.010923544304236303,-0.09696385843191642,0.11881094704038904,6.020189974780804,6.113591354867271,-1.560868557788733,950.2280094188259,917.9829720160919,32.24503740273394,571.9403732993162,115,19,19,13,158.51167661133292,15.881584703749713,-52.874974366142574,68.75655906989229,-93.81119490418918
Bovill,10mibuffer,1982,14,5,5,3,31.182298245159856,8.96314495768679,0,0,131,204,33,39,204,204,131,4,3,189,167,42.71973196600648,49.1525956564496,43.00517419080258,6.181122621622026,-0.028986773629775267,12.391232016873827,14.091576092205003,33.72880501932502,16.300079058642467,183,59,22,33,0,133,264,131,-0.9603365677100438,-0.7134592215939092,-1.2072139138261786,7.577912749775686,7.26675089646751,-0.5920310387294784,1116.2653513318023,881.2332907890697,235.03206054273267,809.2215355299093,81,20,15,6,142.55815446451572,181.91892661672614,-89.62465559316489,271.54358220989104,143.46996732640386
Bovill,10mibuffer,1983,22,19,12,10,87.92253235647426,55.29393666935516,3,6,105,237,105,107,107,237,105,12,7,144,143,45.373305323699945,46.312021245695796,38.55910024269127,6.651189001488144,0.5107981576661108,12.791579845310176,14.954632360466007,34.70629401556005,15.955376358575826,193,48,27,48,6,140,245,105,-0.49027018784392623,-0.17367429029802303,-0.8068660853898294,6.406056163710717,6.697025180769625,-0.9367337387961209,1102.2592153255061,866.3172121031619,235.94200322234428,743.8940253868781,78,14,8,3,148.91460926195506,167.91279061042994,-104.54073427907267,272.4535248895026,78.14245718337268
Bovill,10mibuffer,1984,13,15,6,7,28.047361987965132,30.492082661118744,1,0,83,26,26,26,26,26,83,3,4,304,102,56.49907964825093,54.95469103492138,49.25351353304642,6.030397801576453,-0.21082260816525258,12.271618211318158,13.230015176889026,36.658804933653016,16.10687523211885,190,59,20,24,0,148,260,112,-1.0942037025042417,-0.8819080827824535,-1.30649932222603,4.514488347283901,7.160412874568497,-0.7852348652530997,1053.6375881174226,883.4085955672595,170.22899255016318,688.7434950783152,84,26,15,9,148.9632068766602,115.5773151357565,-88.62050994496646,204.19782508072296,19.27807860821983
Bovill,10mibuffer,1985,35,41,12,12,117.36272854490802,143.01230646183032,21,26,162,163,101,124,163,163,162,13,17,195,175,60.12254780068732,71.20117072980494,60.21928856833824,5.338343165574115,-1.1948871710751519,11.871573502223383,13.145512631770998,35.18231799200703,16.3432594554218,188,58,21,31,0,275,251,-24,-1.8031160237579549,-1.8793596190392858,-1.7268724284766241,7.439603752154289,8.925312632979544,-0.5488506419501454,979.5694157624417,914.7370271706164,64.83238859182529,611.3836037182185,89,52,18,11,156.99471352143314,45.222991047365525,-56.1209192116181,101.34391025898363,-54.36796448528691
Bovill,10mibuffer,1986,6,17,1,1,12.888621058328944,29.160568022810534,3,11,NA,84,84,84,84,84,NA,2,6,187,187,49.14320654427995,59.7253677697189,52.88350759974878,5.786163880974463,-0.459693840885411,12.032021602834337,14.099519715940005,35.31464861521505,16.728156965715772,186,69,25,40,9,143,251,108,-1.355295308357607,-1.144166288849545,-1.5664243278656689,8.56764696761541,10.378884612041347,-0.16395313165617537,942.5030830111164,899.1751476319415,43.327935379174846,637.3353282244237,87,17,17,7,157.03552952591647,8.156658296040183,-71.68279875029302,79.8394570463332,-28.4162399790816
Bovill,10mibuffer,1987,12,25,4,13,23.30075520184097,95.94120576545411,0,0,181,107,91,101,107,107,181,5,8,273,263,44.70079490819846,52.485443965145386,46.08471987520633,7.196031906555464,0.42139611277252953,13.9706677003384,14.564600112343044,33.365953354219016,16.046720444343197,179,70,40,37,0,112,269,157,0.05457271722339417,-0.26307633519160434,0.37222176963839265,7.270226969328322,11.917306034587877,-0.8453896530287514,755.1367971228673,957.7669746137634,-202.63017749089613,493.84295428129565,103,30,25,30,152.7020609586102,-179.2096275922089,-13.09097176847111,-166.11865582373778,-171.90861392220975
Bovill,10mibuffer,1988,50,49,31,36,198.32880206135684,378.8252440564941,0,1,1,7,1,1,1,7,1,24,36,341,338,60.96304582979078,64.8337330396286,56.124669677316305,6.7819115691710925,-0.15469725944868173,13.718520397790867,13.916591300278014,33.63198991609704,16.138430476739316,185,64,45,40,18,274,256,-18,-0.34268993490960253,-0.8257827340658827,0.14040286424667758,8.295002469041595,8.735346701315244,-0.7536796206326313,787.8555384749545,985.7223255320114,-197.86678705705685,492.1261202680503,111,44,44,43,164.587230735108,-150.20473450671153,13.693220019785409,-163.89795452649693,-177.33929620204503
Bovill,10mibuffer,1989,5,17,0,9,7.084251295502453,44.38093034545895,0,0,NA,26,26,10,26,26,NA,2,11,106,127,42.756374060493684,56.917294060353825,44.7752541424668,6.449045918879646,-0.005502603748166309,12.903594441507458,13.937458542032005,34.06704629259701,15.917249610810632,171,51,29,38,0,275,269,-6,-0.6924132704524245,-0.6899750517123002,-0.6948514891925487,5.110540305679791,6.002636033736049,-0.9748604865613152,1006.0260273116321,906.141373009706,99.88465430192616,696.6452954941083,77,19,15,15,148.73851646786278,71.67960259655591,-64.71657337252853,136.39617596908442,30.89372729060291
Bovill,10mibuffer,1990,10,16,6,14,31.04956423686574,114.61442373361174,0,0,184,176,176,176,176,176,184,6,16,13,15,44.3900054456965,57.917998204429736,50.10148609544369,7.285673510799984,1.0105670375540385,13.56077998404593,14.731179304507009,33.33856644119004,16.58530059164521,160,70,26,46,0,146,269,123,0.14421432146791388,0.32609458958990467,-0.03766594665407695,6.86444168527395,7.34121055789862,-0.3068095057267351,1032.2492829536102,901.218532345627,131.03075060798324,660.7503475026965,91,23,13,21,147.08187841933477,97.90285823853398,-69.63941403660753,167.5422722751415,-5.0012207008089264
Bovill,10mibuffer,1991,1,6,0,1,5.098943322622752,7.965901072086471,0,0,NA,NA,364,121,121,NA,NA,1,2,NA,243,45.266805335025104,53.5445018960591,47.98276859312264,5.979944650670991,-0.14230796103330992,12.102197262375292,12.953439798396005,32.96521528317601,15.921141203396225,187,55,20,23,0,137,269,132,-1.1615145386610797,-0.8267804089974438,-1.4962486683247154,6.454389642541855,5.961458617790221,-0.9709688939757223,1052.6805127385744,895.950834338099,156.72967840047545,725.2135923777928,76,41,15,3,126.6717209393689,118.3340880234983,-74.9071120441356,193.24120006763388,59.46202417428742
Bovill,10mibuffer,1992,38,64,21,41,138.4520331944717,360.39478507875356,7,13,1,7,1,7,7,7,1,10,17,250,260,44.45213291758678,54.15939953330783,49.00247517053841,7.588285902029563,1.0504150219969557,14.126156782062171,14.711329005194045,34.704935905793036,16.569567490970343,183,61,56,48,13,280,264,-16,0.46368439794886857,0.3793295473797547,0.5480392485179825,7.978685536083687,9.35886536873998,-0.3225426064016037,864.6530529047834,964.8305043322556,-100.17745142747219,514.1364284878641,102,32,32,24,161.65708071900008,-73.40722007688272,-7.19860117997039,-66.20861889691233,-155.32898798223113
Bovill,10mibuffer,1993,6,19,4,11,26.901255418373502,67.76502447768182,0,0,124,121,124,26,26,121,124,5,12,13,123,32.38642811271585,38.093646891892185,33.489919326996024,5.543777807870153,-0.2567472837611982,11.344302899501503,12.510936248448047,29.189313797858006,13.702100550471782,179,32,18,30,0,129,269,140,-1.5976813814619173,-0.9412197317253321,-2.2541430311985025,6.889347417211627,6.786715587449532,-3.190009546900165,913.5196123785365,822.2679373888357,91.25167498970086,498.2691255733998,99,15,14,29,161.11464445350404,-20.826812336539597,-148.5900089933989,127.7631966568593,-167.4824426301056
Bovill,10mibuffer,1994,20,44,7,23,50.13004195508172,176.14287355098514,0,1,39,39,39,39,39,39,39,8,9,143,325,51.94256078151373,64.64795476040857,58.73806258558002,7.2125282060760565,0.5176632463078671,13.907393165844248,15.500173024315018,36.421510640823044,16.881685913246933,173,82,47,47,0,274,269,-5,0.07106901674398676,-0.16680920165626684,0.30894723514424033,6.99316565537164,7.214770158948557,-0.010424184125015367,621.5769160974407,983.4544354362956,-361.8775193388549,413.5525112603251,116,30,15,14,144.88501861014495,-312.76950861763544,12.596489054061099,-325.36599767169656,-252.1990569431803
Bovill,10mibuffer,1995,5,4,1,1,12.976350974735322,5.044150001160233,0,0,2,NA,2,7,7,NA,2,3,2,231,226,42.38602406255919,45.0717748129831,40.09259900537759,6.162635650391682,0.26781615968074873,12.057455141102615,13.290271713661014,30.21384705118004,14.900652408641493,183,40,17,30,0,134,258,124,-0.9788235389403884,-0.41665628828338513,-1.5409907895973918,5.692176743333005,3.997924588970349,-1.991457688730455,1122.8521743461692,849.1305223258292,273.72165202034,766.2599285792733,89,12,11,14,145.82561028867244,188.505749631093,-121.72742405640531,310.2331736874983,100.50836037576792
Bovill,10mibuffer,1996,2,0,1,0,4.124506549104318,0,0,0,NA,NA,169,NA,NA,NA,NA,2,0,1,NA,48.98479670726441,56.096844846130566,50.842561882122794,6.040651400385572,0.0668127985667948,12.01449000220435,15.49616145283403,34.84680908773203,16.26617697271016,171,58,22,33,0,152,254,102,-1.0839501036951222,-0.604272676050406,-1.5636275313398385,5.754257463692266,7.597245155323819,-0.6259331246617889,1258.343155488108,855.2433226811266,403.09983280698145,910.822851248142,72,26,13,3,127.92905790920622,320.28288250644204,-116.78578283109927,437.0686653375413,241.35743477804667
Bovill,10mibuffer,1997,0,1,0,0,0,0.08356169459750618,0,0,NA,NA,NA,232,NA,NA,NA,0,1,NA,NA,41.29880957376205,45.77993656572873,38.18573692562786,6.4055111316553806,0.5239864723785641,12.287035790932196,14.836774965886036,33.24112787989401,16.075688600494953,172,52,8,43,0,275,269,-6,-0.7359480576766898,-0.1604859755855698,-1.31141013976781,6.877450621879714,7.10373278251425,-0.8164214968769932,1404.4684197760569,859.4989337700621,544.9694860059948,1003.2527463339488,69,23,23,14,139.39774625948334,470.1219950609807,-111.35901261217244,581.4810076731532,337.5011781304434
Bovill,10mibuffer,1998,1,3,0,1,0.2075787837517531,0.935024514477945,0,0,NA,NA,44,210,NA,NA,NA,1,1,NA,5,46.085253075933835,61.38140747852009,50.385027607720154,7.739316430048608,1.4036664672647736,14.074966392832442,15.698651292378997,35.22779732311102,17.581683641977744,171,67,34,45,0,118,269,151,0.5978572407165377,0.7191940193006399,0.47652046213243554,6.304693856396309,6.805483735789121,0.6895735446057981,907.9261933995048,905.8704939729058,2.0556994265989488,553.5821917280934,96,41,15,3,152.44014109902318,-26.42023131557142,-64.98745240932872,38.567221093757304,-112.16937647541197
Bovill,10mibuffer,1999,6,8,0,2,8.4991887251864,23.24601177377466,0,1,236,237,195,206,237,237,236,4,4,169,148,49.11235895375601,57.738104902953026,45.94095439094089,6.242818140797286,0.1054636765409185,12.380172605053653,14.537354793164013,34.853027313572,15.428965821073207,199,56,14,27,0,141,263,122,-0.8986410485347847,-0.5790087714232154,-1.2182733256463538,6.2539706572766764,7.971594795178646,-1.4631442762987406,1053.2094023349218,889.2806922986813,163.92871003624055,856.8240751426572,76,22,9,2,126.37943573383234,118.86297761984574,-81.57725408355324,200.44023170339898,191.07250693915176
Bovill,10mibuffer,2000,9,8,4,6,18.791717353751235,31.934197182259666,1,0,3,19,3,19,19,19,3,4,7,319,28,55.29766845587862,63.98611331494891,59.817537064323744,6.972215363733744,0.7383939720011671,13.206036755466322,13.277173783730007,34.502004975961995,15.762854527931463,177,47,21,31,6,135,259,124,-0.1523861403469505,0.06730849738396626,-0.37208077807786727,6.075508484213289,7.21947496956729,-1.1292555694404842,1049.547713706326,913.3622143625273,136.1854993437987,759.9426453793186,56,48,15,8,138.41352764023748,111.48744072465989,-58.66689114969867,170.15433187435855,90.47722890922331
Bovill,10mibuffer,2001,3,7,1,2,7.929702223076333,9.188899027045387,0,0,NA,233,232,233,233,233,NA,2,3,124,122,49.44678146441943,56.39836658739224,50.624805838206775,6.069552248583164,-0.48371551969148907,12.622820016857817,14.912569208385037,34.325766712551,15.849712591400882,202,69,16,22,6,129,269,140,-1.0719069407489061,-1.1681879676556228,-0.9756259138421892,6.589754704700852,6.6854599350403845,-1.0423975059710653,647.406927914279,897.0493517693617,-249.6424238550827,401.7413660974242,109,29,13,1,147.93682516930403,-286.93949680079714,-73.8085946128728,-213.13090218792433,-264.0102021060812
Bovill,10mibuffer,2002,2,2,0,0,7.306351048349356,3.7986618525313,0,0,NA,NA,3,4,NA,NA,NA,2,1,1,38,56.73230355337025,55.32945430133717,50.037219235389216,6.07690478992717,-0.07746416647815199,12.231273746332493,17.602319314981003,36.618251837945024,15.997437200877064,194,59,19,29,0,137,256,119,-1.0645543994049,-0.7619366144422859,-1.3671721843675142,8.917673520828714,8.474583687869465,-0.8946728964948835,1065.197489154002,881.3316415589812,183.86584759502068,808.4076655251473,76,11,11,11,131.4445275051116,130.85106443892576,-89.52630482325326,220.377369262179,142.65609732164188
