.id,.town,tenure_years,question,resp,metric,delta
1,Bovill,52,D1,5,annualanometo,39.36274313570482
1,Bovill,52,D1,5,annualanomprecip,-33.91824332703837
1,Bovill,52,D1,5,annualanompwd,-73.28098646274321
1,Bovill,52,D1,5,annualeto,39.35408655296248
1,Bovill,52,D1,5,annualprecip,-33.94455050938569
1,Bovill,52,D1,5,annualpwd,-73.29863706234822
1,Bovill,52,D2,4,coolseasonanomprecip,-4.055969829644966
1,Bovill,52,D2,4,coolseasonprecip,-4.08227701199224
1,Bovill,52,D3,NA,coolseasondrydays1mm,1.68331791551033
1,Bovill,52,D4,4,precipCOMwydoy,-4.724633420474514
1,Bovill,52,D4,4,preciponsetwydoy,0.604070305272908
1,Bovill,52,D5,1,maxcoolseasondrydur,-0.6222633364168519
1,Bovill,52,D5,1,maxdrydur,4.301572617946415
1,Bovill,52,F1,5,firehighdays_bi90,3.945112550107969
1,Bovill,52,F1,5,firehighdays_bi95,2.1924144310823426
1,Bovill,52,F1,5,firehighdays_erc90,7.576626580326949
1,Bovill,52,F1,5,firehighdays_erc95,4.283071230342327
1,Bovill,52,F2,5,firesummerhighdays_bi90,2.4557508479802874
1,Bovill,52,F2,5,firesummerhighdays_erc90,3.5538082022818718
1,Bovill,52,F3,4,firep95_erc,4.015544708946088
1,Bovill,52,F3,4,firepeak_bi,3.3100040346723287
1,Bovill,52,F3,4,firepeak_erc,4.433899922068203
1,Bovill,52,F3,4,fireseverity_bi90,17.96407333330612
1,Bovill,52,F3,4,fireseverity_erc90,36.42352916907119
1,Bovill,52,F4,4,firestart_any_bi90,-9.23588373513549
1,Bovill,52,F4,4,firestart_any_erc90,-7.5057730356523225
1,Bovill,52,F4,4,firestart_k2_erc90,-6.279356586482106
1,Bovill,52,F4,4,firestart_k3_bi90,4.875385889616849
1,Bovill,52,F4,4,firestart_k3_erc90,-3.7043175393038696
1,Bovill,52,F4,4,firestart_wyday_bi,4.875385889616849
1,Bovill,52,F4,4,firestart_wyday_erc,-3.7043175393038696
1,Bovill,52,F5,4,firemaxrun_bi,0.8396546407647372
1,Bovill,52,F5,4,firemaxrun_erc,1.5454825778600212
1,Bovill,52,F5,4,fireseasonlength_bi,28.290371493556098
1,Bovill,52,F5,4,fireseasonlength_erc,19.97860756771434
1,Bovill,52,H1,4,meananntemp,0.3463664612394498
1,Bovill,52,H1,4,meananomanntemp,0.3462420667452436
1,Bovill,52,H1,4,meanmaxanntemp,0.4697006771867112
1,Bovill,52,H1,4,meanmaxanomanntemp,0.4695499078695498
1,Bovill,52,H1,4,meanminanntemp,0.22303224529218846
1,Bovill,52,H1,4,meanminanomanntemp,0.2229342256209371
1,Bovill,52,H2,4,maxmaxanomjjatemp,1.1059328765179992
1,Bovill,52,H2,4,maxmaxjjatemp,0.9382971463330749
1,Bovill,52,H2,4,maxminanomjjatemp,0.18407112964342107
1,Bovill,52,H2,4,maxminjjatemp,0.36500610741730777
1,Bovill,52,H2,4,meananomjjatemp,0.47894248981564247
1,Bovill,52,H2,4,meanjjatemp,0.4789424898156407
1,Bovill,52,H3,NA,frostdays,-4.505087881591216
1,Bovill,52,H3,NA,summerdays,7.42769041011408
1,Bovill,52,H3,NA,tmaxgt90thdays,6.493987049028757
1,Bovill,52,H3,NA,tmingt90thdays,0.25901942645699305
1,Bovill,52,H4,7,gsstartdoy,6.852297255627924
1,Bovill,52,H5,1,gsenddoy,1.596669750231321
1,Bovill,52,H6,1,durtmaxgt90th,0.8812827628738815
1,Bovill,52,H6,1,gslength,-5.255627505396612
2,Bovill,66,D1,7,annualanometo,39.36274313570482
2,Bovill,66,D1,7,annualanomprecip,-33.91824332703837
2,Bovill,66,D1,7,annualanompwd,-73.28098646274321
2,Bovill,66,D1,7,annualeto,39.35408655296248
2,Bovill,66,D1,7,annualprecip,-33.94455050938569
2,Bovill,66,D1,7,annualpwd,-73.29863706234822
2,Bovill,66,D2,7,coolseasonanomprecip,-4.055969829644966
2,Bovill,66,D2,7,coolseasonprecip,-4.08227701199224
2,Bovill,66,D3,7,coolseasondrydays1mm,1.68331791551033
2,Bovill,66,D4,1,precipCOMwydoy,-4.724633420474514
2,Bovill,66,D4,1,preciponsetwydoy,0.604070305272908
2,Bovill,66,D5,7,maxcoolseasondrydur,-0.6222633364168519
2,Bovill,66,D5,7,maxdrydur,4.301572617946415
2,Bovill,66,F1,7,firehighdays_bi90,3.945112550107969
2,Bovill,66,F1,7,firehighdays_bi95,2.1924144310823426
2,Bovill,66,F1,7,firehighdays_erc90,7.576626580326949
2,Bovill,66,F1,7,firehighdays_erc95,4.283071230342327
2,Bovill,66,F2,7,firesummerhighdays_bi90,2.4557508479802874
2,Bovill,66,F2,7,firesummerhighdays_erc90,3.5538082022818718
2,Bovill,66,F3,7,firep95_erc,4.015544708946088
2,Bovill,66,F3,7,firepeak_bi,3.3100040346723287
2,Bovill,66,F3,7,firepeak_erc,4.433899922068203
2,Bovill,66,F3,7,fireseverity_bi90,17.96407333330612
