.id,.town,tenure_years,question,resp,n_metrics,instr_delta_raw,climate_delta_mean_z,resp_z,pdi
1,Bovill,52,D1,5,6,-22.620931278808033,0.4579675306778065,-0.15818158019603737,-0.6161491108738438
1,Bovill,52,D2,4,2,-4.0691234208186025,0.6226747627811762,-0.7207813362466652,-1.3434560990278412
1,Bovill,52,D3,NA,1,1.68331791551033,0.25705439448651785,NA,NA
1,Bovill,52,D4,4,2,-2.0602815576008027,-0.014009405211080737,0.44880518115859397,0.4628145863696747
1,Bovill,52,D5,1,2,1.8396546407647816,0.8066453445879701,-3.680350919788043,-4.486996264376013
1,Bovill,52,F1,5,4,4.499306197964897,0.1926825300995139,-0.43563052673845837,-0.6283130568379722
1,Bovill,52,F2,5,2,3.0047795251310796,-0.20335863056955633,-0.4629153011791763,-0.25955667060961995
1,Bovill,52,F3,4,5,13.229410233612786,0.25211388701468995,-1.3705956152233687,-1.6227095022380587
1,Bovill,52,F4,4,7,-2.954125236663423,-0.23305710678017896,-0.4108310016615457,-0.17777389488136672
1,Bovill,52,F5,4,4,12.6635290699738,0.12064285308260335,-1.1934536886091955,-1.314096541691799
1,Bovill,52,H1,4,6,0.34630426399234665,-0.27549394293117185,-0.9325323267806559,-0.657038383849484
1,Bovill,52,H2,4,6,0.591865373257181,-0.12416532640377584,-1.0154240552872527,-0.8912587288834768
1,Bovill,52,H3,NA,4,2.4189022510021534,-0.5271184201339135,NA,NA
1,Bovill,52,H4,7,1,6.852297255627924,-0.5053552265139454,3.0758460276511226,3.5812012541650677
1,Bovill,52,H5,1,1,1.596669750231321,0.29689586551939895,-2.173295470801377,-2.470191336320776
1,Bovill,52,H6,1,2,-2.187172371261365,0.5663585337992102,-2.7632608683273436,-3.329619402126554
2,Bovill,66,D1,7,6,-22.620931278808033,0.4579675306778065,1.5459613104492682,1.0879937797714616
2,Bovill,66,D2,7,2,-4.0691234208186025,0.6226747627811762,1.8791799123573776,1.2565051495762014
2,Bovill,66,D3,7,1,1.68331791551033,0.25705439448651785,1.8368140834028774,1.5797596889163597
2,Bovill,66,D4,1,2,-2.0602815576008027,-0.014009405211080737,-2.3264595104955688,-2.312450105284488
2,Bovill,66,D5,7,2,1.8396546407647816,0.8066453445879701,1.7627062062438152,0.9560608616558451
2,Bovill,66,F1,7,4,4.499306197964897,0.1926825300995139,1.3511180296304464,1.1584354995309325
