question,.town,n,mean_resp,mean_resp_z,mean_instr_delta_raw,mean_climate_delta_z,mean_pdi,sd_pdi
D1,Bovill,48,5.254901960784314,0.059013101945030996,-79.20212951403876,-0.0680896934661715,0.1051744861565754,1.1915585452024964
D1,Deary,117,5.059322033898305,-0.10763496903282914,-99.45463141340174,-0.25638501529475305,0.1346167447278889,1.8016323165388985
D1,ElkRiver,32,4.625,-0.47770837219203216,-110.54271347236461,-0.35947519102359976,-0.1182331811684324,1.3631213343860267
D1,Juliaetta,122,5.318181818181818,0.11293206149753399,-44.57736626014014,0.2538300857555922,-0.12565978678581996,1.2382064929557275
D1,Kendrick,70,5.352112676056338,0.14184357660771363,-50.67250249144304,0.19716125323479003,-0.06320405217734641,1.1004255530727463
D2,Bovill,48,4.823529411764706,-0.007066483688692645,-79.88929600831287,-0.33783749882114694,0.3392676205200492,1.3811148090265701
D2,Deary,117,4.720338983050848,-0.09649685564964926,-68.3018609767431,-0.19104446144709583,0.08506877657973419,1.4944505681193547
D2,ElkRiver,32,4.625,-0.1791227427874896,-102.98814909030922,-0.6304605680789394,0.4513378252914497,1.5986055022665775
D2,Juliaetta,122,4.924242424242424,0.08021682620205507,-25.41838993297498,0.3522159711254533,-0.23475843487136147,1.240002896607939
D2,Kendrick,70,4.943661971830986,0.09704684993394923,-35.434764131950054,0.22532559477065764,-0.12897625288462364,1.056635371100659
D3,Bovill,35,5.052631578947368,0.07283689588115223,0.891816791548793,0.14181978335908343,-0.18968120570216918,1.070342596399048
D3,Deary,77,4.884615384615385,-0.0793565620858989,0.14179457195577125,0.03262408395292941,-0.11218988405335735,1.2106411673471593
D3,ElkRiver,22,4.681818181818182,-0.2630555661162279,-1.8272541934515305,-0.2540496324872908,-0.16320369778711713,1.9443329276258654
D3,Juliaetta,90,4.989690721649485,0.01582342311644894,-0.6595279107996052,-0.08404041833585488,0.08903029155541305,1.5039127701076298
D3,Kendrick,52,5.132075471698113,0.1447992492731655,0.6789652722719552,0.11083074075484081,-0.0026506075144194373,1.334800649480031
D4,Bovill,48,3.4705882352941178,-0.04094741148625828,1.4912143354497869,0.5200837409166974,-0.5145500035639766,1.3332540984518355
D4,Deary,117,3.6186440677966103,0.09601729662628515,-2.1848974679776725,-0.03274981928870772,0.14156530887713362,1.3215586508508872
D4,ElkRiver,32,3.71875,0.18862411631601622,1.4453140399897229,0.5131810064215147,-0.3245568901054985,1.562586609235867
D4,Juliaetta,122,3.5,-0.013738934117099817,-3.48248048382287,-0.2278873658788144,0.18381767010429206,1.3742425350193193
D4,Kendrick,70,3.3098591549295775,-0.18963599203884252,-2.8934898775629017,-0.13931177536422534,-0.04622925871241786,0.9603070187700868
D5,Bovill,48,5.176470588235294,0.10844374637138775,-4.646420869139053,0.015607051142089039,0.06504330712660335,1.5145992274086661
D5,Deary,117,5.11864406779661,0.05598490401348682,-5.370307278606702,-0.07267774744213906,0.11407528989810171,1.5333337329994532
D5,ElkRiver,32,4.8125,-0.22174170428863305,-3.684022028036296,0.13298069807508722,-0.35472240236372027,1.3182061066314745
D5,Juliaetta,122,5.0606060606060606,0.003334205910285317,-4.560766455357742,0.026053417546583864,-0.01821262352069012,1.3864018050349962
D5,Kendrick,70,4.971830985915493,-0.0772004279077988,-4.736876552061312,0.004575124526056413,-0.056221293626193915,1.3800702606257
F1,Bovill,48,5.627450980392157,0.1249180399655117,-7.504510702317597,-0.19825612499858028,0.3768204145119329,1.0849315417979721
F1,Deary,117,5.415254237288136,-0.06465307223813498,7.384003435089024,0.2866309523067832,-0.36338463225319667,1.3765375304520266
F1,ElkRiver,32,4.8125,-0.6031382038980433,9.161709846050886,0.3445270497926033,-0.9476652536906466,1.710835987926863
F1,Juliaetta,122,5.613636363636363,0.11257641669291009,-8.230104248212498,-0.22188715563962036,0.3720758277106389,1.422543135799498
F1,Kendrick,70,5.577464788732394,0.08026166207228169,-4.914854906026808,-0.11391657178987717,0.20154812227374086,1.3501780475244707
F2,Bovill,48,5.647058823529412,0.1245191929499669,3.109609171394872,-0.19548120542758446,0.33780144365419207,1.021824508344998
F2,Deary,117,5.466101694915254,-0.03976333506920027,9.417787849461867,0.27854696398558704,-0.33021247556852557,1.5655941405342522
F2,ElkRiver,32,4.9375,-0.5196561329984685,10.463280974684622,0.3571105585785135,-0.8767666915769821,2.0596521084562798
F2,Juliaetta,122,5.575757575757576,0.05978811921672797,3.452125402386889,-0.16974281876203792,0.29469974233356155,1.3986678494382567
F2,Kendrick,70,5.619718309859155,0.09969801714169323,3.063578832110591,-0.19894015587619182,0.3066755061367546,1.1663908942583479
