town,buffer,metric,sen_slope_per_decade,qcat,p_upper,p_lower,p_two,baseline_mean,early_mean,late_mean,delta_late_minus_early,question,stressor,survey_col,question_text
Bovill,10mibuffer,annualanometo,37.41499740537211,Q7,0.091,0.909,0.182,4.6869915356258694e-15,-71.0204739569435,58.895809233676815,129.91628319062033,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,none,annualanometo,40.385499599700154,Q7,0.085,0.915,0.17,2.812564995717063e-15,-73.32756085060537,66.00489570195786,139.33245655256323,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualanometo,31.726533130935977,Q7,0.097,0.903,0.194,6.0178713863952755e-15,-59.43161212971402,45.83700456789152,105.26861669760554,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualanometo,31.705829944359202,Q7,0.0985,0.9015,0.197,1.0107655453358195e-15,-60.89589090555135,47.8669637218573,108.76285462740864,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualanometo,22.902388188621,Q7,0.126,0.874,0.252,-2.0358714714063806e-15,-52.082674791901795,40.67855936855352,92.76123416045532,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualanometo,20.9995364544115,Q7,0.134,0.866,0.268,-2.634004125923184e-15,-50.253495104238404,39.68396680261941,89.9374619068578,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualanometo,21.685028347599435,Q6,0.1625,0.8375,0.325,2.874552447925301e-15,-49.61032577112572,29.459253045120363,79.06957881624609,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualanometo,20.75886663458041,Q6,0.195,0.805,0.39,3.7332405685338205e-15,-48.79221427112975,26.188182117930168,74.98039638905992,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualanometo,23.269996797211864,Q7,0.1405,0.8595,0.281,2.7258288219182227e-15,-50.57442593911105,31.979676611550417,82.55410255066147,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualanometo,21.913453441172138,Q6,0.1735,0.8265,0.347,-3.2915799715501256e-15,-51.302120785579746,31.168695924055932,82.47081670963567,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,annualanomprecip,-37.13359625182491,Q1,0.9785,0.0215,0.043,-3.191891195797325e-16,70.04071119910681,-54.97678953132623,-125.01750073043304,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,none,annualanomprecip,-36.84569943148417,Q1,0.982,0.018,0.036,-1.6172248725373113e-15,68.66083818189803,-51.12029476252707,-119.7811329444251,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualanomprecip,-32.03158419825065,Q1,0.9785,0.0215,0.043,-3.560115165631336e-15,57.670295563569724,-38.711765898598784,-96.38206146216851,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualanomprecip,-32.19856050915681,Q1,0.972,0.028,0.056,-4.8600012902966226e-15,65.64666975363293,-44.03063313151884,-109.67730288515178,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualanomprecip,-35.99417652507499,Q1,0.9605,0.0395,0.079,-1.3933298959045715e-15,78.27601113807643,-65.26450525926076,-143.54051639733717,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualanomprecip,-35.90573799610147,Q1,0.9695,0.0305,0.061,1.9105087882091234e-15,74.51535971400638,-62.15715924563507,-136.67251895964145,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualanomprecip,-13.067601078772535,Q1,0.8875,0.1125,0.225,-1.1726730697603216e-15,30.413447912718727,-15.504326489899771,-45.9177744026185,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualanomprecip,-11.024901086604695,Q1,0.8605,0.1395,0.279,1.960931417244183e-15,24.55635743286976,-7.689362436805273,-32.245719869675035,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualanomprecip,-14.332314818619016,Q1,0.896,0.104,0.208,-6.399510551110173e-15,35.89883083000898,-19.534484747606555,-55.43331557761554,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualanomprecip,-14.69841059855212,Q1,0.9135,0.0865,0.173,-7.355227538141662e-16,33.38525058373376,-21.739679993311157,-55.124930577044914,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,annualanompwd,-73.42480804332091,Q1,0.8745,0.1255,0.251,-4.0652666418357816e-15,141.0611851560503,-113.87259876500305,-254.93378392105336,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
